GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"5.025,36.975","-1.2069999999999999,9.407","-5.500000000000001,9.900000000000002",#,"-0.45500000000000007,5.055",#,#,#,#,"-1.2555,2.0555",#,#,#,"-2.8369999999999997,3.8369999999999997","-3.2520000000000002,5.452","-3.9749999999999996,-0.4265868724449362","-0.7500000000000001,0.9500000000000001","-0.575,1.375",#,0.0,0.1,1.0,1,2.5,53,53,0.5263157894736842,2.7874205414190206e-05,0,0
"-5.487614822941606,59.005","-2.9350000000000014,17.754","-2.9250000000000007,14.125",#,#,"26.271999999999995,55.528000000000006",#,"-1.7225000000000001,1.7225000000000001",#,#,#,"49.7,66.0","-2.1601954774551704,0.8975876353724147",#,#,"-1.4969999999999999,3.697",#,#,"0.8005,3.6883856102484067",0.0,0.3855432894295318,0.8264462809917356,1,84.65704917635483,49998,35673,0.47368421052631576,0.0009438991914003665,200,242
#,"6.036999999999999,28.363",#,#,"-3.0400000000000005,6.84","43.455999999999996,53.408",#,"-1.56,1.56",#,#,#,#,"-1.3344999999999998,2.5345",#,"1.9000000000000001,5.3","-2.7100000000000004,4.598000000000001",#,"0.5954999999999999,1.9994999999999998","-0.025000000000000133,2.0250000000000004",1.0,0.4691756607522822,0.8595419847328244,1,89.47379797305629,49929,36807,0.47368421052631576,0.0009976044095554905,563,655
#,#,#,#,#,#,#,#,#,"3.8375,5.7625","6.7829999999999995,11.305","42.7,100.2",#,#,"8.192,15.808",#,"0.31249999999999994,1.0875","2.8175,4.1825","2.1595,3.8405",1.0,1.0,1.0,1,23.463182848000002,49877,36812,0.3684210526315789,0.0002616070313503426,13,13
"-5.235000000000003,60.65","6.375,33.825",#,#,#,#,#,#,#,#,#,"16.0,121.7","0.49540132944517434,3.8572296702176825","0.6549999999999996,5.325",#,#,#,"-0.575,0.0062368416901568136",#,0.0,1.0,1.0,4,74.83899656045449,49951,37031,0.3157894736842105,0.0033377241009887723,207,207
#,#,#,#,#,#,"1.6515000000000002,2.5485",#,"3.200000000000003,72.2",#,"-1.5739999999999994,4.6419999999999995",#,#,#,#,#,#,#,#,1.0,1.0,1.0,1,66.85588511091018,49994,37391,0.15789473684210525,0.0007454218698916043,138,138
"20.473915034349165,104.98582558533758","-0.7511543925178907,32.293",#,"0.12900000000000045,5.8709999999999996",#,"43.455999999999996,55.932",#,#,#,#,#,#,#,#,"-3.02,5.82",#,"-0.325,1.0125000000000002",#,#,1.0,0.18201712511402723,0.7112502795795124,2,64.3633126675731,49984,37747,0.3157894736842105,0.001370388276137992,3180,4471
#,#,#,#,#,#,#,#,"-35.5,51.0","3.8375,5.7625","6.7829999999999995,13.616999999999999","42.7,100.2",#,#,#,#,"0.31249999999999994,1.0875",#,"2.1595,3.8405",1.0,1.0,1.0,1,32.31257296591759,49877,37817,0.3157894736842105,0.00036027491852519845,24,24
"58.055,99.945",#,#,#,"0.9350000000000005,9.865",#,"0.5630000000000001,1.4369999999999998",#,"2.6317986294044964,72.5",#,"-0.11900000000000022,7.095","42.7,107.7",#,"-2.096,4.296","-0.7440000000000002,11.783999999999999","-2.504,2.873",#,"-0.68,1.0305806744661954",#,1.0,0.28429324310953574,0.7775947281713345,1,63.74087766013738,49886,38678,0.5263157894736842,0.0007106905268717748,472,607
#,#,#,#,"11.955000000000002,31.7791035974845","25.924,85.56642140537691","0.35682652553166627,0.8995884681711678","-1.455,3.115",#,#,#,"40.2,106.2","2.0545,6.014497231834932","5.9030000000000005,10.697000000000001",#,#,#,#,#,1.0,0.0,0.0,1,41.083008,39612,39612,0.3684210526315789,0.0004580624816099278,0,11
