GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"57.86,106.14",#,"18.925,28.425",#,"10.96,20.84",#,#,#,#,#,#,#,"3.355521318084988,5.260999999999999","6.796000000000001,10.680000000000001",#,#,#,"2.886,4.914",#,1.0,1.0,1.0,2,25.849601876086933,49630,35560,0.3157894736842105,0.0005249348232645618,28,28
"57.86,106.14",#,"18.925,28.425","8.120999999999999,12.212499999999999",#,#,#,#,#,#,#,#,"3.355521318084988,5.260999999999999",#,"9.48,18.32","-0.17300000000000004,6.768",#,"2.886,4.914",#,1.0,1.0,1.0,1,25.85107761561283,49630,36007,0.3684210526315789,0.0002624823957521703,27,27
"59.28,115.44387410932532",#,"1.9749999999999996,16.825000000000003",#,"1.995,9.405000000000001",#,"0.7707610393777689,1.536",#,"10.500000000000004,71.9",#,#,#,"-1.408,2.408","0.2370000000000001,3.2510000000000003","-0.09600000000000009,2.768","-2.057,5.257","0.13749999999999996,1.0625","-0.3825,0.9824999999999999","-0.3430000000000002,2.5020000000000002",1,1.0,1.0,1,77.13510298373357,49967,36752,0.631578947368421,0.0007832016494172287,252,252
"63.185,100.815",#,#,#,#,"38.9,59.957578426489476",#,#,#,#,#,"80.5,119.5",#,#,"4.125261081045,6.888","2.832,8.768",#,#,#,1.0,1.0,1.0,2,60.1073770369079,49870,37074,0.2631578947368421,0.001220616684659825,77,77
"52.125,63.010000000000005",#,#,#,#,#,"-0.5175,0.69",#,#,#,#,#,#,"0.44499999999999984,7.423832166483161","5.164,8.836",#,"0.175,0.825",#,#,0.0,1.0,1.0,2,68.14059048390294,49968,38465,0.2631578947368421,0.001383749312437193,102,102
#,#,#,#,#,#,#,#,#,#,"0.2320000000000002,7.168",#,"3.7894999999999994,6.8105","2.4090000000000003,8.261",#,"-3.122,4.82","-0.11250000000000004,1.125",#,"1.3415,2.8585000000000003",1.0,1.0,1.0,1,51.21332096668556,49598,38543,0.3157894736842105,0.000520001347009294,33,33
"-0.16266417115467036,23.005000000000003","5.648,21.752",#,#,#,#,#,#,#,#,"-0.2869999999999997,3.487",#,#,#,#,#,#,#,"-0.4145000000000003,2.4145000000000003",0.0,1.0,1.0,2,87.54695755183707,49879,40031,0.21052631578947367,0.0017778396321197225,156,156
#,#,#,#,"9.07,23.130000000000003",#,#,#,#,#,"0.2320000000000002,7.168",#,"3.7894999999999994,6.8105",#,#,"-3.122,4.82","-0.11250000000000004,1.125",#,"1.3415,2.8585000000000003",1.0,1.0,1.0,2,56.80988206383104,49159,40114,0.3157894736842105,0.0011536535666510648,18,18
#,#,#,#,#,#,"-0.567,0.906",#,#,"0.2594999999999996,4.3405000000000005","-0.7109999999999999,5.510999999999999",#,#,#,"0.20000000000000018,7.330103158920395",#,"1.0886601945849714,1.2125","-1.0115,1.2115000000000002",#,1.0,0.07775999999999998,0.6,1,75.56098876442653,49993,40167,0.3157894736842105,0.0007672186688384334,177,295
#,#,#,#,#,"38.9,59.957578426489476",#,"-1.5125000000000002,2.8925",#,#,"6.856,11.344","80.5,119.5",#,"2.8549999999999995,6.1450000000000005","3.032,9.968",#,"1.4875,2.7375","0.16149999999999998,1.248","2.9085,5.4915",1.0,1.0,1.0,1,31.60192,49363,40318,0.47368421052631576,0.0003208743478824523,9,9
#,#,#,#,#,"41.588,53.937304468721905","-0.8624999999999999,0.8624999999999999",#,#,#,#,#,#,#,"-0.14400000000000013,3.136",#,"1.2375,2.7375",#,#,1.0,1.0,1.0,1,88.66299262015961,49904,40422,0.21052631578947367,0.0009002516283282913,141,141
#,#,"14.05,24.515963511928007",#,"12.684999999999999,19.715","37.26,56.339999999999996","-0.713,0.713",#,"7.100000000000001,57.1",#,#,#,#,#,#,"2.1370000000000005,6.768",#,#,#,1.0,1.0,1.0,1,78.96111431681452,49792,40747,0.3157894736842105,0.0008017423012424442,216,216
"26.215,73.785",#,"20.059236571552816,25.9125",#,#,#,#,#,#,"3.4219999999999997,5.578","4.57,7.629999999999999","38.900000000000006,108.9","0.804,4.196","4.055999999999999,8.944",#,"0.357,3.643","0.4125000000000001,1.7875","1.2225000000000001,2.9775","2.1494999999999997,4.6505",0.0,0.1,1.0,1,31.20559673344,40933,40933,0.5789473684210527,0.00031685022625604214,0,0
"68.97118345279934,115.44387410932532",#,#,#,"3.1649999999999996,9.435",#,"-0.2875,1.9553036986972363",#,"0.5452867646405508,59.7","-0.6935,5.148",#,"80.5,119.5","-0.3309548723825244,1.8755000000000002",#,"-1.6760000000000002,6.0760000000000005",#,"-0.07500000000000007,1.225",#,"-0.8020514343893109,2.8375000000000004",1.0,0.39161304261415214,0.8290322580645161,1,82.49972117732668,49988,41333,0.5263157894736842,0.0008376720222460799,257,310
"62.35,83.65","2.318532903894063,36.87359129449017","-7.625000000000002,19.21132914809487","-0.9699999999999993,4.969999999999999","-2.695,8.895","20.588,39.57077567240506","0.10100000000000003,0.6990000000000001","-1.7525000000000002,2.233471572751589","-12.550860504264007,38.75839460651133",#,"-1.766,4.966","62.2,88.2","-0.843,1.0043017658781324","0.9559999999999995,5.844",#,"-1.8559999999999999,3.6559999999999997","-0.025000000000000022,0.4939886085315348",#,#,0.0,1.0,1.0,2,80.43036161929027,49955,41571,0.7894736842105263,0.0016333210029352383,34,34
"-12.14,71.53555799850108","-2.3689999999999998,13.719373815704351","-7.625000000000002,6.812500000000001","-0.3334999999999999,2.9335",#,"20.588,39.57077567240506",#,"-1.325,1.925",#,#,"-1.383,1.983","47.5,99.5","-0.7335,1.3335000000000001",#,"-0.04400000000000004,4.444000000000001",#,"-0.22500000000000003,0.625",#,"-0.8325000000000002,1.8325000000000002",0.0,0.17144583464224744,0.7027896995708155,1,78.31711411936341,49962,41763,0.631578947368421,0.00079520335856449,655,932
#,#,#,#,#,#,"-0.506,0.8704999999999999",#,#,#,"-3.2700000000000005,6.438",#,#,#,"4.18,10.296850728889213",#,#,#,#,1.0,0.39106711985968173,0.8288009888751545,1,74.41532166625795,49994,41828,0.15789473684210525,0.0007555859837669181,1341,1618
"52.125,63.010000000000005","15.460999999999999,43.21",#,"-0.07399999999999984,5.074","-0.21500000000000075,10.615000000000002","33.33721539987826,64.852","-0.3255,0.3795",#,"-31.5,31.5",#,"-1.7599999999999996,4.359999999999999",#,#,"0.7619999999999996,5.6979999999999995",#,"-1.226,3.226","0.30000000000000004,1.5",#,"-0.3045000000000002,1.894622829565324",0,0.24345215148144456,0.7538461538461538,1,64.5185275772399,49968,41858,0.631578947368421,0.0006550975530183882,98,130
"-12.14,35.65","19.641841894758468,33.544000000000004",#,#,"1.4499999999999997,6.818264533540301",#,#,"0.6624999999999999,2.9375","-28.999999999999996,68.9","-0.9935,3.0245","-0.22799999999999998,2.628","54.0,88.2","-3.0153994249998757,2.8717598205059423",#,#,#,#,#,#,0.0,1.0,1.0,1,77.49877435669657,49853,42083,0.47368421052631576,0.000786894235647528,39,39
"38.085,89.91499999999999",#,#,"2.0775,7.522499999999999",#,#,#,#,#,#,#,"-2.3520475893344113,112.9","0.605,2.195","1.2269999999999999,2.963",#,#,#,#,#,1.0,0.4101087463248929,0.836719337848006,1,73.79288222628526,49995,42242,0.2631578947368421,0.000779201115350882,1112,1329
"52.125,63.010000000000005","15.460999999999999,43.21",#,"-0.07399999999999984,5.074","-0.21500000000000075,10.615000000000002","33.33721539987826,64.852","-0.5175,0.69",#,"-31.5,31.5",#,#,#,#,"0.44499999999999984,5.6979999999999995","5.164,8.836","-1.226,3.226",#,"-0.41400000000000003,1.6139999999999999",#,0.0,1.0,1.0,1,68.45801456494152,49968,42268,0.5789473684210527,0.000695097664346123,61,61
#,#,#,#,#,#,#,#,#,#,"-3.2700000000000005,3.391","43.5,98.2",#,"0.5909999999999997,5.649000000000001","0.8159999999999998,9.384",#,#,#,"-0.8020514343893109,3.2995",1.0,0.09528945336872169,0.6248977588745297,1,71.2365604702471,49995,42335,0.2631578947368421,0.0007269705010075931,3820,6113
#,"25.367000000000004,44.033",#,"5.09203477173228,9.0185",#,#,"0.8223353344765132,2.444","-1.3049999999999997,7.24",#,#,#,#,#,#,#,#,#,#,#,1.0,0.7645094483255994,0.9477124183006536,1,73.77092949920211,49949,42399,0.21052631578947367,0.0007053086396442925,145,153
"-12.14,60.892947098646246",#,#,#,#,#,"-0.21399999999999997,0.614","-1.7525000000000002,1.6213304672650763","-34.19671495435826,16.05819819608486",#,#,"48.0,74.0","-0.589,0.7889999999999999",#,#,#,"-0.30000000000000004,1.1","-1.4235,0.9019999999999999",#,0.0,0.08514653834581129,0.610989010989011,1,71.10226702234323,49962,42454,0.42105263157894735,0.0007219464375505785,278,455
"57.86,106.14",#,"18.925,26.075","6.076499999999999,12.212499999999999","12.765,19.035","40.936,71.464",#,"-0.8775000000000001,0.8775000000000001",#,"4.9975000000000005,10.0025",#,#,"2.5075000000000003,5.260999999999999","6.920000000000001,10.680000000000001",#,#,#,"2.886,4.914",#,0,0.0,0.0,1,25.842232115199998,42595,42595,0.5263157894736842,0.00026239258177325193,0,14
"55.025,86.975","22.368999999999996,43.230999999999995","4.324999999999999,13.675",#,#,#,#,"-1.5125000000000002,2.8047503146005237",#,#,"-1.3619999999999999,4.962",#,#,"-3.7631646256227036,5.649000000000001",#,"-5.844206302539304,4.08","1.2375,3.8370566715090533","-0.8945,1.0945",#,1.0,1.0,1.0,4,88.3860451570285,49936,42633,0.47368421052631576,0.0035897584199530283,101,101
"62.25,97.75",#,#,#,#,#,#,"-1.5125000000000002,2.8047503146005237","-28.500000000000004,59.7",#,"-1.3619999999999999,7.989",#,"1.2220000000000002,3.9779999999999998","-1.5550000000000002,5.649000000000001",#,"0.1100000000000001,4.08","1.05,1.325","-0.953,1.153",#,1.0,1.0,1.0,3,96.55536380101543,49994,42759,0.47368421052631576,0.0029411636439371815,95,95
"59.28,115.44387410932532",#,#,"0.06550000000000034,3.1345","1.995,9.405000000000001",#,"0.7707610393777689,1.536",#,"10.500000000000004,71.9",#,#,"66.2,92.2",#,#,"-0.09600000000000009,2.768","-4.764876662894079,5.257","0.13749999999999996,1.35","-0.3825,0.9824999999999999","-0.5275000000000002,1.7275",1,1.0,1.0,1,74.81035137676925,49967,42766,0.5789473684210527,0.0007595969710978937,79,79
"38.085,115.44387410932532",#,#,"1.8250000000000002,6.7749999999999995",#,"40.876,59.540000000000006","0.7707610393777689,1.536","3.2924999999999995,5.3075",#,"0.8445,1.28644801472818","-2.2190000000000003,4.611",#,"0.1050000000000001,1.6949999999999998",#,"-0.09600000000000009,2.768",#,#,"-0.6944999999999999,1.6284999999999998",#,1.0,1.0,1.0,1,64.3176614912,49817,42782,0.5263157894736842,0.0006530580321801053,14,14
#,#,#,#,"9.55,19.05",#,"-0.7244999999999999,0.7244999999999999","-1.105,1.0075",#,#,#,#,#,#,"7.241589399745579,17.075583085330223","1.122,3.878",#,"0.11750000000000005,1.6284999999999998",#,1.0,1.0,1.0,2,89.13620227217407,49994,42826,0.3157894736842105,0.0018101128524344228,108,108
"-12.14,37.31899423524918",#,"-3.9625000000000004,8.9625",#,#,#,"-0.21399999999999997,0.614","-1.7525000000000002,4.09","-34.19671495435826,31.83087083200925",#,#,#,"-0.589,0.7889999999999999","-2.5372626993861935,3.9430000000000005","-2.0880000000000005,4.9559999999999995","-3.8749999999999996,3.2249999999999996",#,"-1.4235,0.9019999999999999",#,0.0,0.4567449920830029,0.8549382716049383,1,88.78089992798884,49962,43139,0.5263157894736842,0.0009014488160469578,277,324
"-0.16266417115467036,60.892947098646246",#,"1.2750000000000004,16.511473272230518",#,#,"22.635999999999996,50.052",#,"1.3497705810279998,3.54713569161508",#,"-1.4405000000000001,2.6405000000000003","-2.811,3.907","0.43750323990084183,95.3","-3.0153994249998757,1.3335000000000001","-0.9220000000000002,1.5220000000000002","-0.8479999999999999,4.048",#,"-0.26250000000000007,1.4625","-0.8284999999999999,0.051810908968234815","0.6314999999999997,2.9685000000000006",0.0,0.3921708428882455,0.8292682926829268,1,64.90067680508973,49871,43221,0.6842105263157895,0.0006589777566351337,34,41
"-12.14,60.892947098646246",#,#,#,#,#,#,#,"-34.19671495435826,31.83087083200925",#,#,"58.701277486113476,74.0","-0.9455,2.2079999999999997",#,"-2.0880000000000005,4.968",#,#,#,#,0.0,0.08928958188051805,0.616822429906542,1,66.64864317011879,49999,43245,0.2631578947368421,0.0006377579514626763,660,1070
"62.445088242034636,115.44387410932532",#,#,"5.09203477173228,9.0185","13.59987986901016,23.55627425960802",#,"-0.713,0.8704999999999999","-0.31845884690631365,0.6533901705144525","7.100000000000001,59.7","4.9975000000000005,10.0025",#,#,"2.1075,4.4925","6.920000000000001,9.804",#,"2.1370000000000005,6.768","-0.11250000000000004,1.8250000000000002",#,#,1.0,1.0,1.0,2,48.480000000000004,49306,43276,0.5789473684210527,0.0009844964094169776,6,6
"67.445,86.975",#,"10.525,26.475",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"2.5774999999999997,3.2911824668913425",1.0,0.7158284568400175,0.9353233830845771,1,66.97518304652694,49946,43279,0.15789473684210525,0.0006800415349561737,188,201
"67.445,146.720536899115",#,#,"8.740058804087806,12.212499999999999",#,#,#,"-1.5125000000000002,2.8925",#,#,#,"80.5,119.5",#,"2.8549999999999995,6.1450000000000005",#,"2.1370000000000005,9.663",#,#,"2.9085,5.4915",1.0,1.0,1.0,1,32.0,49363,43333,0.3684210526315789,0.00032491630673827645,6,6
#,#,#,#,#,"38.9,59.957578426489476",#,"-1.5125000000000002,2.8925",#,#,"6.856,11.344",#,#,"2.8549999999999995,6.1450000000000005","3.032,9.968",#,#,"0.16149999999999998,1.248","2.9085,5.4915",1.0,1.0,1.0,1,32.0,49363,43333,0.3684210526315789,0.00032491630673827645,6,6
#,#,"14.05,24.515963511928007",#,"12.684999999999999,19.715",#,#,#,#,#,#,"80.5,112.9","-0.14800000000000002,2.195",#,"-2.152,4.67250388199816",#,#,#,#,1.0,1.0,1.0,1,77.40751562995811,49946,43395,0.2631578947368421,0.0007859676278834811,52,52
#,#,"14.05,24.515963511928007","6.734999999999999,9.0185","12.684999999999999,19.715","37.26,56.339999999999996","-0.713,0.8704999999999999",#,#,#,#,#,"1.2690000000000001,4.131",#,#,"2.1370000000000005,6.768",#,#,#,1.0,1.0,1.0,1,75.39195652931724,49861,43417,0.3684210526315789,0.0007655023772899514,99,99
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-0.2530000000000001,2.4530000000000003",1.0,0.08684846530764354,0.6134122287968442,1,74.62922666042763,49995,43450,0.05263157894736842,0.0008110718017056276,3732,6084
